Параметр: fid,ID товара,ID варианта
MOD133PL-06BS___maytoni,277871989,486491934
MOD133PL-06CH___maytoni,277872011,486491961
MOD134PL-06B___maytoni,277872014,486491965
MOD081PL-L50G3K___maytoni,277872018,486491968
MOD134PL-06W___maytoni,277872022,486491972
MOD081WL-L13G3K___maytoni,277872026,486491976
MOD083PL-09CH___maytoni,277872029,486491979
MOD083WL-02CH___maytoni,277872031,486491981
MOD017PL-05BS___maytoni,277872035,486491985
MOD017PL-04BS___maytoni,277872057,486492017
MOD017PL-01BS___maytoni,277872073,486492034
MOD017WL-02BS___maytoni,277872076,486492037
MOD083PL-06CH___maytoni,277872078,486492040
MOD083PL-04CH___maytoni,277872081,486492042
MOD080CL-08CH___maytoni,277872085,486492046
MOD080CL-06CH___maytoni,277872088,486492049
MOD078PL-09CH___maytoni,277872090,486492050
MOD092PL-12CH___maytoni,277872093,486492054
MOD078WL-03CH___maytoni,277872104,486492066
MOD092PL-08CH___maytoni,277872108,486492069
MOD092PL-06CH___maytoni,277872111,486492073
MOD078TL-01CH___maytoni,277872115,486492076
MOD078PL-12CH___maytoni,277872118,486492080
MOD079TL-01CH___maytoni,277872131,486492099
MOD043PL-18G___maytoni,277872134,486492103
MOD078WL-01CH___maytoni,277872139,486492107
MOD043PL-18CH___maytoni,277872142,486492110
MOD043PL-12G___maytoni,277872145,486492114
MOD043PL-12CH___maytoni,277872149,486492116
MOD043PL-08G___maytoni,277872151,486492120
MOD043PL-06G___maytoni,277872155,486492123
MOD043PL-04G___maytoni,277872158,486492126
MOD043PL-08CH___maytoni,277872161,486492129
MOD043PL-04CH___maytoni,277872164,486492132
MOD043WL-01G___maytoni,277872175,486492143
MOD043WL-01CH___maytoni,277872178,486492146
MOD043PL-06CH___maytoni,277872195,486492162
MOD096CL-05CH___maytoni,277872200,486492170
MOD096CL-03CH___maytoni,277872220,486492204
MOD067PL-04CH___maytoni,277872224,486492211
MOD096WL-01CH___maytoni,277872227,486492217
MOD067PL-01CH___maytoni,277872231,486492221
MOD067WL-01CH___maytoni,277872235,486492225
MOD128PL-L6BR___maytoni,277872239,486492229
MOD128PL-L6SG___maytoni,277872254,486492249
MOD128PL-L6AM___maytoni,277872278,486492283
MOD201PL-08N___maytoni,277872294,486492301
MOD127PL-L6AM___maytoni,277872303,486492310
MOD201PL-07N___maytoni,277872307,486492319
MOD127PL-L6BR___maytoni,277872312,486492325
MOD201PL-05N___maytoni,277872317,486492330
MOD201PL-01N___maytoni,277872321,486492333
MOD127PL-L6SG___maytoni,277872324,486492336
MOD201WL-02N___maytoni,277872327,486492339
MOD201WL-01N___maytoni,277872330,486492348
MOD202-06-N___maytoni,277872335,486492356
MOD202-05-N___maytoni,277872362,486492381
MOD202PL-06N___maytoni,277872397,486492430
MOD202PL-01N___maytoni,277872402,486492435
MOD202WL-02N___maytoni,277872406,486492439
MOD202PL-07N___maytoni,277872445,486492493
MOD184-PL-04-CH___maytoni,277872450,486492498
MOD125WL-L6CH3K___maytoni,277872461,486492507
MOD184-PL-01-CH___maytoni,277872473,486492520
MOD184PL-06CH___maytoni,277872477,486492524
MOD124PL-L3CH3K___maytoni,277872481,486492527
MOD124WL-L6CH3K___maytoni,277872511,486492564
MOD184PL-04CH___maytoni,277872515,486492569
MOD184-WL-02-CH___maytoni,277872519,486492573
MOD184-WL-01-CH___maytoni,277872523,486492576
MOD051PL-09TR___maytoni,277872527,486492582
MOD051PL-07TR___maytoni,277872552,486492611
MOD051WL-02TR___maytoni,277872553,486492613
DIA002PL-09CH___maytoni,277872556,486492617
DIA002PL-07CH___maytoni,277872560,486492620
DIA002PL-05CH___maytoni,277872563,486492624
DIA002WL-02CH___maytoni,277872568,486492628
DIA902-06-N___maytoni,277872572,486492632
DIA902-04-N___maytoni,277872608,486492674
MOD089PL-08BS___maytoni,277872648,486492723
MOD089PL-06BS___maytoni,277872652,486492727
MOD089WL-01BS___maytoni,277872655,486492731
MOD089PL-10BS___maytoni,277872664,486492740
DIA005CL-10CH___maytoni,277872669,486492745
DIA005CL-06CH___maytoni,277872672,486492749
DIA005PL-06CH___maytoni,277872677,486492755
DIA005WL-02CH___maytoni,277872680,486492758
MOD062PL-L103CH3K___maytoni,277872683,486492761
MOD062PL-L56CH3K___maytoni,277872687,486492765
