Группа параметра,1 уровень,2 уровень,,id старый,id новый,Название,Maytoni,Ledron,LIGHTSTAR,MANTRA,SWG,Elevel,Isonex,,,Настройки-Параметры товаров-Отображать в навигации,Настройки-Параметры товаров-Не отображать в карточке товара,Настройки-Параметры товаров-Автоматическая сортировка
Основные,1,,,,139,Контрольное окошко/световая индикация,,,,,,Контрольное окошко/световая индикация,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,140,Комбинация штепсельных розеток,,,,,,Комбинация штепсельных розеток,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,141,Количество элементов управления,,,,,,Количество элементов управления,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,142,Количество штепсельных розеток с заземляющим контактом,,,,,,Количество штепсельных розеток с заземляющим контактом,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,143,Количество ед. светильников в составе осветит. прибора,,,,,,Количество ед. светильников в составе осветит. прибора,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,144,Класс температурного контроля,,,,,,Класс температурного контроля,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,145,Категория (Cat),,,,,,Категория (Cat),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,146,Интерфейс 1-10 В,,,,,,Интерфейс 1-10 В,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,147,Индикация фактической температуры,,,,,,Индикация фактической температуры,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,148,Защитное покрытие поверхности,,,,,,Защитное покрытие поверхности,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,149,Дополнит. вход управления,,,,,,Дополнит. вход управления,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,150,Для тяжелых условий в соотв. с VDE,,,,,,Для тяжелых условий в соотв. с VDE,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,151,Детский дизайн,,,,,,Детский дизайн,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,152,Двусторонняя беспроводная связь,,,,,,Двусторонняя беспроводная связь,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,153,Датчик,,,,,,Датчик,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,154,Гибкий (сгибаемый),,,,,,Гибкий (сгибаемый),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,155,Генератор случайного срабатывания/эффект присутствия,,,,,,Генератор случайного срабатывания/эффект присутствия,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,156,Выключатель стиральной машины,,,,,,Выключатель стиральной машины,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,157,Выключатель с подсветкой для ночного понижения температуры,,,,,,Выключатель с подсветкой для ночного понижения температуры,,,,Не отображать в общем фильтре,,Автоматическая сортировка
